Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R31,1k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,211.250000,-109.750000,0.000000,top
R32,1k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,204.750000,-105.500000,90.000000,top
U1,AD8676,SOIC-8_3.9x4.9mm_P1.27mm,204.925000,-59.700000,180.000000,top
U2,AD8676,SOIC-8_3.9x4.9mm_P1.27mm,204.925000,-80.500000,180.000000,top
U3,LT1469,SOIC-8_3.9x4.9mm_P1.27mm,205.500000,-110.250000,90.000000,top
U4,LTC2338-18,MSOP-16_3x4.039mm_P0.5mm,205.500000,-124.500000,270.000000,top
U5,AD5781,TSSOP-20_4.4x6.5mm_P0.65mm,176.975000,-99.675000,180.000000,top
U6,AD8676xR,SOIC-8_3.9x4.9mm_P1.27mm,170.150000,-99.675000,180.000000,top
U7,AD8675,SOIC-8_3.9x4.9mm_P1.27mm,186.075000,-97.725000,270.000000,top
U8,AD5781,TSSOP-20_4.4x6.5mm_P0.65mm,176.975000,-58.075000,180.000000,top
U9,AD8676xR,SOIC-8_3.9x4.9mm_P1.27mm,170.150000,-58.075000,180.000000,top
U10,AD8675,SOIC-8_3.9x4.9mm_P1.27mm,186.075000,-56.125000,270.000000,top
U11,AD5781,TSSOP-20_4.4x6.5mm_P0.65mm,176.975000,-78.875000,180.000000,top
U12,AD8676xR,SOIC-8_3.9x4.9mm_P1.27mm,170.150000,-78.875000,180.000000,top
U13,AD8675,SOIC-8_3.9x4.9mm_P1.27mm,186.075000,-76.925000,270.000000,top
U14,LM75C,SOIC-8_3.9x4.9mm_P1.27mm,113.805000,-87.935000,180.000000,top
U16,AD5781,TSSOP-20_4.4x6.5mm_P0.65mm,176.975000,-120.475000,180.000000,top
U17,AD8676xR,SOIC-8_3.9x4.9mm_P1.27mm,170.150000,-120.475000,180.000000,top
U18,AD8675,SOIC-8_3.9x4.9mm_P1.27mm,186.075000,-118.525000,270.000000,top
U19,ADP7142AUJZ-5.0,TSOT-23-5,211.500000,-116.000000,270.000000,top
U20,ADR4550,SOIC-8_3.9x4.9mm_P1.27mm,131.585000,-77.140000,180.000000,top
U21,AD8676,SOIC-8_3.9x4.9mm_P1.27mm,140.475000,-85.395000,270.000000,top
U22,AD8675,SOIC-8_3.9x4.9mm_P1.27mm,140.475000,-75.870000,270.000000,top
